"Customer_Age.x","Gender.x","Annual_Income.x","Credit_Score.x","Purchase_Category.x","BNPL_Provider.x","Purchase_Amount.x","Repayment_Status.x","Income_Bracket","Device_Type","Connection_Type","Checkout_Time_Seconds","Browser","Is_Bad","Cluster"
33,"Male",47838,651,"Groceries","Affirm",38,"Paid On Time","Mid-Tier","Mobile","VPN",39,"Edge","0","1"
32,"Male",55602,598,"Travel","Sezzle",2960,"Paid On Time","Mid-Tier","Desktop","WiFi",60,"Chrome","0","2"
64,"Male",42660,669,"Home & Furniture","Klarna",291,"Paid On Time","Mid-Tier","Mobile","4G/5G",66,"Chrome","0","1"
61,"Female",52055,378,"Travel","Sezzle",439,"Paid On Time","Mid-Tier","Mobile","4G/5G",172,"Firefox","0","1"
20,"Male",63147,714,"Electronics","Sezzle",273,"Paid On Time","Mid-Tier","Mobile","VPN",67,"Firefox","0","2"
54,"Female",34784,782,"Home & Furniture","Afterpay",120,"Late Payment","Mid-Tier","Tablet","WiFi",177,"Firefox","0","1"
24,"Female",25328,706,"Electronics","Affirm",708,"Paid On Time","Entry-Level","Mobile","WiFi",169,"Safari","0","1"
38,"Male",28583,839,"Fashion","Affirm",98,"Paid On Time","Entry-Level","Desktop","4G/5G",142,"Firefox","0","1"
26,"Male",84132,743,"Electronics","Sezzle",861,"Paid On Time","Wealth-Tier","Mobile","WiFi",78,"Chrome","0","2"
56,"Female",112642,609,"Travel","Afterpay",1003,"Paid On Time","Wealth-Tier","Mobile","VPN",56,"Chrome","0","3"
35,"Male",79163,454,"Travel","Affirm",2521,"Paid On Time","Wealth-Tier","Mobile","WiFi",146,"Safari","0","2"
21,"Female",74734,535,"Fashion","Afterpay",59,"Paid On Time","Wealth-Tier","Mobile","4G/5G",85,"Safari","0","2"
42,"Female",70267,495,"Electronics","Affirm",582,"Defaulted","Wealth-Tier","Tablet","VPN",144,"Firefox","1","2"
31,"Male",75385,761,"Travel","Afterpay",552,"Paid On Time","Wealth-Tier","Desktop","WiFi",89,"Chrome","0","2"
26,"Female",53122,501,"Electronics","Affirm",534,"Paid On Time","Mid-Tier","Desktop","WiFi",95,"Safari","0","1"
43,"Female",96879,703,"Groceries","Afterpay",218,"Paid On Time","Wealth-Tier","Mobile","WiFi",132,"Chrome","0","3"
19,"Male",63570,481,"Groceries","Sezzle",86,"Paid On Time","Mid-Tier","Mobile","4G/5G",95,"Edge","0","2"
37,"Non-Binary",23510,770,"Electronics","Affirm",771,"Paid On Time","Entry-Level","Desktop","WiFi",74,"Firefox","0","1"
45,"Male",90754,831,"Groceries","Affirm",133,"Paid On Time","Wealth-Tier","Desktop","WiFi",155,"Chrome","0","3"
64,"Female",69054,659,"Beauty","Afterpay",72,"Paid On Time","Mid-Tier","Desktop","VPN",117,"Safari","0","2"
24,"Female",59610,486,"Fashion","Affirm",279,"Paid On Time","Mid-Tier","Mobile","WiFi",35,"Safari","0","2"
61,"Female",96338,494,"Travel","Klarna",2558,"Late Payment","Wealth-Tier","Desktop","WiFi",115,"Edge","0","3"
25,"Male",37218,793,"Home & Furniture","Klarna",116,"Paid On Time","Mid-Tier","Mobile","4G/5G",61,"Edge","0","1"
64,"Male",69169,588,"Electronics","Sezzle",1859,"Late Payment","Mid-Tier","Tablet","4G/5G",27,"Firefox","0","2"
52,"Male",43156,476,"Beauty","Sezzle",118,"Paid On Time","Mid-Tier","Mobile","4G/5G",136,"Edge","0","1"
31,"Female",56048,664,"Fashion","Klarna",190,"Paid On Time","Mid-Tier","Desktop","4G/5G",131,"Safari","0","2"
34,"Male",102079,448,"Beauty","Afterpay",143,"Paid On Time","Wealth-Tier","Mobile","WiFi",160,"Safari","0","3"
53,"Female",24170,580,"Fashion","Klarna",69,"Paid On Time","Entry-Level","Mobile","WiFi",132,"Safari","0","1"
57,"Male",81131,443,"Fashion","Affirm",250,"Paid On Time","Wealth-Tier","Mobile","WiFi",79,"Chrome","0","2"
21,"Male",62669,681,"Beauty","Klarna",151,"Defaulted","Mid-Tier","Tablet","4G/5G",101,"Safari","1","2"
19,"Male",53443,424,"Beauty","Affirm",158,"Late Payment","Mid-Tier","Desktop","4G/5G",134,"Chrome","0","2"
23,"Female",52843,763,"Groceries","Affirm",200,"Paid On Time","Mid-Tier","Desktop","WiFi",161,"Chrome","0","1"
59,"Female",76971,620,"Travel","Sezzle",770,"Paid On Time","Wealth-Tier","Desktop","WiFi",30,"Edge","0","2"
21,"Male",56154,314,"Electronics","Sezzle",517,"Paid On Time","Mid-Tier","Mobile","WiFi",165,"Chrome","0","2"
46,"Female",95987,360,"Home & Furniture","Klarna",205,"Late Payment","Wealth-Tier","Desktop","VPN",27,"Firefox","0","3"
35,"Male",69474,845,"Travel","Klarna",1567,"Paid On Time","Mid-Tier","Mobile","4G/5G",45,"Firefox","0","2"
43,"Female",33031,320,"Travel","Affirm",1997,"Paid On Time","Mid-Tier","Mobile","4G/5G",126,"Firefox","0","1"
61,"Female",92042,443,"Beauty","Klarna",273,"Paid On Time","Wealth-Tier","Mobile","4G/5G",11,"Chrome","0","3"
51,"Male",43214,445,"Fashion","Afterpay",170,"Late Payment","Mid-Tier","Desktop","WiFi",140,"Chrome","0","1"
27,"Male",98071,822,"Fashion","Affirm",96,"Paid On Time","Wealth-Tier","Mobile","WiFi",13,"Chrome","0","3"
53,"Male",37065,568,"Home & Furniture","Affirm",281,"Defaulted","Mid-Tier","Desktop","4G/5G",150,"Edge","1","1"
31,"Male",36128,567,"Groceries","Sezzle",190,"Paid On Time","Mid-Tier","Mobile","4G/5G",154,"Chrome","0","1"
48,"Female",110250,523,"Electronics","Affirm",1435,"Paid On Time","Wealth-Tier","Mobile","WiFi",136,"Chrome","0","3"
32,"Female",34060,842,"Groceries","Sezzle",253,"Late Payment","Mid-Tier","Tablet","WiFi",153,"Safari","0","1"
25,"Female",33091,314,"Travel","Sezzle",2343,"Paid On Time","Mid-Tier","Mobile","4G/5G",81,"Edge","0","1"
31,"Female",57498,475,"Home & Furniture","Affirm",75,"Paid On Time","Mid-Tier","Mobile","4G/5G",128,"Safari","0","2"
40,"Male",45918,678,"Fashion","Klarna",128,"Late Payment","Mid-Tier","Tablet","4G/5G",67,"Edge","0","1"
57,"Male",72311,606,"Groceries","Klarna",275,"Late Payment","Wealth-Tier","Tablet","4G/5G",59,"Chrome","0","2"
38,"Female",60894,817,"Travel","Affirm",373,"Paid On Time","Mid-Tier","Mobile","WiFi",117,"Firefox","0","2"
33,"Female",91163,316,"Beauty","Sezzle",148,"Late Payment","Wealth-Tier","Desktop","4G/5G",72,"Firefox","0","3"
62,"Female",74670,583,"Groceries","Sezzle",86,"Paid On Time","Wealth-Tier","Mobile","WiFi",134,"Firefox","0","2"
35,"Female",72024,509,"Travel","Afterpay",1263,"Late Payment","Wealth-Tier","Desktop","VPN",151,"Firefox","0","2"
64,"Male",77729,521,"Groceries","Affirm",165,"Paid On Time","Wealth-Tier","Mobile","4G/5G",14,"Firefox","0","2"
41,"Male",53052,794,"Travel","Affirm",2204,"Paid On Time","Mid-Tier","Mobile","WiFi",34,"Safari","0","1"
43,"Female",22901,813,"Electronics","Sezzle",426,"Paid On Time","Entry-Level","Mobile","4G/5G",104,"Firefox","0","1"
42,"Male",114248,755,"Home & Furniture","Affirm",116,"Paid On Time","Wealth-Tier","Mobile","WiFi",131,"Firefox","0","3"
62,"Female",79642,572,"Electronics","Sezzle",997,"Paid On Time","Wealth-Tier","Desktop","WiFi",81,"Safari","0","2"
58,"Male",20138,759,"Beauty","Klarna",200,"Paid On Time","Entry-Level","Mobile","WiFi",19,"Safari","0","1"
46,"Male",44158,541,"Electronics","Affirm",1403,"Paid On Time","Mid-Tier","Mobile","4G/5G",29,"Chrome","0","1"
32,"Male",95133,762,"Electronics","Sezzle",1557,"Paid On Time","Wealth-Tier","Mobile","WiFi",143,"Firefox","0","3"
62,"Female",81395,678,"Beauty","Sezzle",118,"Paid On Time","Wealth-Tier","Mobile","4G/5G",173,"Firefox","0","2"
18,"Female",97674,804,"Groceries","Afterpay",204,"Paid On Time","Wealth-Tier","Desktop","4G/5G",169,"Edge","0","3"
42,"Male",38126,550,"Groceries","Sezzle",139,"Paid On Time","Mid-Tier","Mobile","WiFi",48,"Safari","0","1"
24,"Female",117378,417,"Travel","Klarna",401,"Paid On Time","Wealth-Tier","Mobile","WiFi",42,"Safari","0","3"
26,"Female",117744,413,"Groceries","Klarna",136,"Paid On Time","Wealth-Tier","Mobile","4G/5G",174,"Firefox","0","3"
41,"Male",61715,400,"Home & Furniture","Afterpay",63,"Paid On Time","Mid-Tier","Mobile","4G/5G",169,"Chrome","0","2"
18,"Male",46654,757,"Fashion","Affirm",100,"Paid On Time","Mid-Tier","Mobile","WiFi",17,"Chrome","0","1"
61,"Male",57596,440,"Groceries","Sezzle",91,"Late Payment","Mid-Tier","Desktop","WiFi",101,"Edge","0","2"
25,"Male",111933,643,"Home & Furniture","Klarna",230,"Paid On Time","Wealth-Tier","Desktop","4G/5G",142,"Safari","0","3"
41,"Female",116700,679,"Travel","Sezzle",1078,"Paid On Time","Wealth-Tier","Mobile","WiFi",7,"Safari","0","3"
28,"Male",116708,365,"Home & Furniture","Klarna",69,"Paid On Time","Wealth-Tier","Mobile","WiFi",11,"Edge","0","3"
34,"Male",48252,803,"Fashion","Sezzle",219,"Paid On Time","Mid-Tier","Desktop","WiFi",138,"Edge","0","1"
25,"Male",48179,435,"Electronics","Afterpay",955,"Defaulted","Mid-Tier","Tablet","WiFi",8,"Firefox","1","1"
52,"Male",103400,465,"Beauty","Afterpay",164,"Paid On Time","Wealth-Tier","Mobile","4G/5G",129,"Safari","0","3"
52,"Non-Binary",94996,401,"Beauty","Affirm",206,"Paid On Time","Wealth-Tier","Mobile","4G/5G",61,"Chrome","0","3"
50,"Male",67972,677,"Fashion","Sezzle",43,"Paid On Time","Mid-Tier","Mobile","4G/5G",94,"Chrome","0","2"
22,"Female",92822,500,"Home & Furniture","Klarna",123,"Paid On Time","Wealth-Tier","Mobile","WiFi",130,"Safari","0","3"
59,"Male",74315,544,"Beauty","Affirm",135,"Defaulted","Wealth-Tier","Tablet","4G/5G",29,"Safari","1","2"
56,"Female",51249,763,"Groceries","Affirm",227,"Paid On Time","Mid-Tier","Mobile","4G/5G",109,"Chrome","0","1"
58,"Female",31472,663,"Electronics","Klarna",687,"Paid On Time","Mid-Tier","Mobile","WiFi",126,"Edge","0","1"
45,"Male",31856,661,"Home & Furniture","Afterpay",46,"Paid On Time","Mid-Tier","Desktop","4G/5G",65,"Safari","0","1"
24,"Female",110553,495,"Electronics","Afterpay",1067,"Paid On Time","Wealth-Tier","Mobile","WiFi",5,"Chrome","0","3"
26,"Male",54556,471,"Fashion","Klarna",160,"Late Payment","Mid-Tier","Desktop","WiFi",117,"Edge","0","2"
25,"Male",34149,740,"Home & Furniture","Sezzle",234,"Paid On Time","Mid-Tier","Desktop","4G/5G",115,"Chrome","0","1"
29,"Male",51413,627,"Beauty","Klarna",29,"Paid On Time","Mid-Tier","Mobile","4G/5G",16,"Safari","0","1"
51,"Male",35341,394,"Fashion","Sezzle",185,"Paid On Time","Mid-Tier","Mobile","WiFi",27,"Chrome","0","1"
50,"Male",25385,491,"Groceries","Sezzle",212,"Paid On Time","Entry-Level","Mobile","4G/5G",135,"Safari","0","1"
40,"Male",118651,391,"Groceries","Klarna",95,"Late Payment","Wealth-Tier","Desktop","WiFi",81,"Safari","0","3"
41,"Male",88196,303,"Home & Furniture","Klarna",46,"Paid On Time","Wealth-Tier","Mobile","4G/5G",118,"Safari","0","3"
54,"Female",29004,489,"Fashion","Sezzle",23,"Late Payment","Entry-Level","Desktop","4G/5G",65,"Edge","0","1"
52,"Male",68310,469,"Home & Furniture","Afterpay",215,"Defaulted","Mid-Tier","Tablet","WiFi",71,"Chrome","1","2"
61,"Male",81376,623,"Electronics","Affirm",254,"Paid On Time","Wealth-Tier","Mobile","WiFi",142,"Firefox","0","2"
57,"Female",67400,537,"Groceries","Affirm",220,"Paid On Time","Mid-Tier","Mobile","4G/5G",21,"Chrome","0","2"
39,"Male",95331,527,"Beauty","Afterpay",161,"Defaulted","Wealth-Tier","Tablet","4G/5G",122,"Firefox","1","3"
44,"Male",105732,456,"Beauty","Afterpay",89,"Paid On Time","Wealth-Tier","Mobile","4G/5G",9,"Firefox","0","3"
52,"Male",38942,357,"Fashion","Sezzle",287,"Late Payment","Mid-Tier","Mobile","WiFi",101,"Chrome","0","1"
18,"Female",46547,652,"Travel","Sezzle",1903,"Paid On Time","Mid-Tier","Mobile","4G/5G",35,"Firefox","0","1"
52,"Male",80527,667,"Electronics","Afterpay",1839,"Paid On Time","Wealth-Tier","Mobile","4G/5G",111,"Chrome","0","2"
54,"Female",107685,531,"Electronics","Afterpay",664,"Paid On Time","Wealth-Tier","Mobile","WiFi",103,"Chrome","0","3"
64,"Male",92728,553,"Home & Furniture","Afterpay",111,"Paid On Time","Wealth-Tier","Mobile","4G/5G",105,"Edge","0","3"
31,"Male",72288,376,"Travel","Afterpay",1882,"Late Payment","Wealth-Tier","Desktop","WiFi",12,"Chrome","0","2"
20,"Male",80131,347,"Groceries","Afterpay",60,"Paid On Time","Wealth-Tier","Desktop","WiFi",10,"Chrome","0","2"
18,"Non-Binary",102173,461,"Travel","Afterpay",1301,"Defaulted","Wealth-Tier","Desktop","WiFi",102,"Edge","1","3"
22,"Female",115465,616,"Travel","Affirm",645,"Paid On Time","Wealth-Tier","Desktop","WiFi",159,"Firefox","0","3"
43,"Male",84770,762,"Electronics","Afterpay",1282,"Paid On Time","Wealth-Tier","Desktop","4G/5G",64,"Firefox","0","2"
31,"Male",22155,740,"Home & Furniture","Affirm",298,"Paid On Time","Entry-Level","Desktop","4G/5G",50,"Edge","0","1"
56,"Female",58695,815,"Fashion","Affirm",267,"Paid On Time","Mid-Tier","Mobile","WiFi",163,"Firefox","0","2"
44,"Male",28255,533,"Fashion","Affirm",143,"Late Payment","Entry-Level","Mobile","4G/5G",103,"Safari","0","1"
26,"Female",44665,405,"Beauty","Sezzle",135,"Defaulted","Mid-Tier","Tablet","WiFi",25,"Safari","1","1"
32,"Female",110107,499,"Travel","Klarna",950,"Paid On Time","Wealth-Tier","Mobile","WiFi",83,"Edge","0","3"
32,"Male",20545,436,"Groceries","Afterpay",132,"Late Payment","Entry-Level","Mobile","4G/5G",93,"Chrome","0","1"
43,"Male",117997,673,"Electronics","Affirm",1394,"Late Payment","Wealth-Tier","Tablet","WiFi",52,"Chrome","0","3"
59,"Female",42295,606,"Travel","Sezzle",1050,"Paid On Time","Mid-Tier","Desktop","VPN",170,"Safari","0","1"
30,"Female",34845,426,"Beauty","Afterpay",147,"Defaulted","Mid-Tier","Tablet","WiFi",24,"Firefox","1","1"
49,"Female",83141,420,"Beauty","Afterpay",157,"Paid On Time","Wealth-Tier","Desktop","WiFi",38,"Firefox","0","2"
56,"Male",74452,720,"Home & Furniture","Klarna",28,"Paid On Time","Wealth-Tier","Mobile","4G/5G",59,"Chrome","0","2"
49,"Female",90071,325,"Travel","Sezzle",1692,"Paid On Time","Wealth-Tier","Mobile","4G/5G",142,"Safari","0","3"
21,"Male",80432,740,"Groceries","Afterpay",115,"Paid On Time","Wealth-Tier","Desktop","WiFi",83,"Edge","0","2"
47,"Male",49152,846,"Groceries","Klarna",80,"Paid On Time","Mid-Tier","Mobile","WiFi",128,"Edge","0","1"
54,"Female",59147,704,"Beauty","Afterpay",156,"Paid On Time","Mid-Tier","Mobile","WiFi",36,"Chrome","0","2"
40,"Female",35595,590,"Groceries","Sezzle",272,"Paid On Time","Mid-Tier","Mobile","VPN",84,"Chrome","0","1"
56,"Male",98478,332,"Travel","Afterpay",2970,"Paid On Time","Wealth-Tier","Mobile","4G/5G",5,"Firefox","0","3"
62,"Female",34690,445,"Electronics","Klarna",1902,"Paid On Time","Mid-Tier","Mobile","4G/5G",89,"Firefox","0","1"
32,"Female",92717,662,"Electronics","Klarna",1327,"Paid On Time","Wealth-Tier","Mobile","4G/5G",67,"Edge","0","3"
60,"Male",70876,378,"Beauty","Sezzle",59,"Paid On Time","Wealth-Tier","Mobile","4G/5G",167,"Safari","0","2"
46,"Female",73184,356,"Travel","Klarna",868,"Defaulted","Wealth-Tier","Tablet","WiFi",69,"Safari","1","2"
53,"Female",99205,455,"Beauty","Klarna",219,"Paid On Time","Wealth-Tier","Mobile","4G/5G",122,"Safari","0","3"
30,"Female",57612,636,"Electronics","Klarna",753,"Paid On Time","Mid-Tier","Mobile","VPN",36,"Firefox","0","2"
49,"Female",41156,583,"Fashion","Sezzle",52,"Paid On Time","Mid-Tier","Mobile","4G/5G",97,"Edge","0","1"
24,"Male",52331,350,"Electronics","Klarna",207,"Paid On Time","Mid-Tier","Desktop","WiFi",30,"Chrome","0","1"
39,"Female",76692,315,"Electronics","Sezzle",590,"Paid On Time","Wealth-Tier","Mobile","WiFi",177,"Firefox","0","2"
45,"Male",78594,764,"Beauty","Klarna",268,"Paid On Time","Wealth-Tier","Mobile","4G/5G",51,"Safari","0","2"
19,"Male",33855,535,"Beauty","Klarna",262,"Defaulted","Mid-Tier","Tablet","4G/5G",108,"Edge","1","1"
59,"Female",60449,789,"Beauty","Klarna",272,"Paid On Time","Mid-Tier","Mobile","WiFi",26,"Edge","0","2"
62,"Female",108928,728,"Travel","Affirm",1352,"Paid On Time","Wealth-Tier","Desktop","4G/5G",147,"Firefox","0","3"
23,"Male",59313,830,"Fashion","Affirm",213,"Paid On Time","Mid-Tier","Desktop","4G/5G",41,"Safari","0","2"
45,"Male",57998,364,"Beauty","Afterpay",265,"Paid On Time","Mid-Tier","Mobile","4G/5G",179,"Chrome","0","2"
45,"Female",95001,356,"Electronics","Sezzle",543,"Paid On Time","Wealth-Tier","Mobile","VPN",38,"Chrome","0","3"
61,"Male",45743,727,"Beauty","Sezzle",103,"Paid On Time","Mid-Tier","Mobile","WiFi",85,"Edge","0","1"
61,"Male",114553,569,"Electronics","Klarna",720,"Late Payment","Wealth-Tier","Desktop","WiFi",83,"Chrome","0","3"
37,"Male",83748,624,"Electronics","Klarna",849,"Paid On Time","Wealth-Tier","Desktop","WiFi",104,"Chrome","0","2"
47,"Female",47791,450,"Travel","Klarna",2321,"Paid On Time","Mid-Tier","Mobile","VPN",55,"Firefox","0","1"
28,"Male",28299,619,"Beauty","Sezzle",81,"Late Payment","Entry-Level","Desktop","VPN",71,"Firefox","0","1"
45,"Female",58223,351,"Travel","Klarna",2714,"Paid On Time","Mid-Tier","Mobile","4G/5G",115,"Safari","0","2"
42,"Female",97620,485,"Beauty","Afterpay",156,"Defaulted","Wealth-Tier","Tablet","WiFi",124,"Firefox","1","3"
56,"Female",107355,512,"Beauty","Klarna",34,"Paid On Time","Wealth-Tier","Desktop","WiFi",167,"Safari","0","3"
50,"Male",22255,720,"Beauty","Affirm",292,"Paid On Time","Entry-Level","Mobile","4G/5G",163,"Safari","0","1"
18,"Male",77862,387,"Groceries","Sezzle",21,"Late Payment","Wealth-Tier","Desktop","WiFi",93,"Edge","0","2"
44,"Male",69883,833,"Fashion","Klarna",53,"Paid On Time","Mid-Tier","Desktop","VPN",91,"Edge","0","2"
30,"Male",50337,410,"Fashion","Sezzle",263,"Defaulted","Mid-Tier","Tablet","4G/5G",61,"Safari","1","1"
58,"Female",32146,718,"Electronics","Klarna",610,"Paid On Time","Mid-Tier","Mobile","WiFi",58,"Edge","0","1"
20,"Male",87426,467,"Electronics","Affirm",394,"Defaulted","Wealth-Tier","Tablet","4G/5G",51,"Chrome","1","3"
56,"Female",77374,689,"Groceries","Affirm",218,"Paid On Time","Wealth-Tier","Mobile","WiFi",44,"Safari","0","2"
23,"Female",62216,721,"Fashion","Sezzle",109,"Late Payment","Mid-Tier","Tablet","WiFi",159,"Edge","0","2"
25,"Male",63978,618,"Travel","Afterpay",1446,"Paid On Time","Mid-Tier","Mobile","WiFi",69,"Chrome","0","2"
44,"Male",85596,508,"Home & Furniture","Afterpay",159,"Defaulted","Wealth-Tier","Tablet","4G/5G",154,"Edge","1","2"
26,"Female",77437,527,"Fashion","Sezzle",35,"Paid On Time","Wealth-Tier","Mobile","WiFi",28,"Chrome","0","2"
54,"Female",81021,518,"Fashion","Klarna",108,"Paid On Time","Wealth-Tier","Mobile","4G/5G",30,"Edge","0","2"
50,"Non-Binary",21824,656,"Home & Furniture","Afterpay",266,"Paid On Time","Entry-Level","Desktop","4G/5G",142,"Safari","0","1"
59,"Male",54955,381,"Groceries","Klarna",150,"Defaulted","Mid-Tier","Tablet","VPN",104,"Safari","1","2"
61,"Female",71657,449,"Beauty","Affirm",266,"Defaulted","Wealth-Tier","Tablet","4G/5G",29,"Chrome","1","2"
41,"Male",94934,781,"Travel","Sezzle",2739,"Paid On Time","Wealth-Tier","Mobile","WiFi",100,"Chrome","0","3"
32,"Male",86539,472,"Groceries","Sezzle",126,"Late Payment","Wealth-Tier","Desktop","4G/5G",93,"Edge","0","2"
49,"Male",58637,322,"Groceries","Sezzle",37,"Paid On Time","Mid-Tier","Mobile","4G/5G",176,"Chrome","0","2"
49,"Male",69450,792,"Fashion","Sezzle",163,"Paid On Time","Mid-Tier","Mobile","WiFi",111,"Chrome","0","2"
41,"Female",77961,505,"Electronics","Afterpay",1020,"Paid On Time","Wealth-Tier","Mobile","WiFi",36,"Safari","0","2"
58,"Male",53264,408,"Beauty","Klarna",169,"Paid On Time","Mid-Tier","Desktop","WiFi",166,"Edge","0","1"
29,"Female",60416,844,"Fashion","Klarna",68,"Paid On Time","Mid-Tier","Mobile","WiFi",61,"Chrome","0","2"
56,"Female",81029,798,"Beauty","Afterpay",135,"Paid On Time","Wealth-Tier","Mobile","4G/5G",142,"Firefox","0","2"
19,"Female",85758,491,"Electronics","Sezzle",1115,"Paid On Time","Wealth-Tier","Mobile","WiFi",96,"Chrome","0","2"
20,"Male",33572,826,"Electronics","Affirm",602,"Paid On Time","Mid-Tier","Desktop","4G/5G",71,"Edge","0","1"
54,"Female",46580,746,"Groceries","Afterpay",276,"Paid On Time","Mid-Tier","Mobile","4G/5G",75,"Edge","0","1"
34,"Male",116785,535,"Beauty","Affirm",261,"Late Payment","Wealth-Tier","Desktop","WiFi",23,"Chrome","0","3"
19,"Female",103075,745,"Home & Furniture","Klarna",141,"Defaulted","Wealth-Tier","Tablet","4G/5G",51,"Firefox","1","3"
19,"Female",117332,840,"Home & Furniture","Klarna",186,"Paid On Time","Wealth-Tier","Mobile","WiFi",148,"Chrome","0","3"
45,"Male",79027,322,"Beauty","Klarna",188,"Paid On Time","Wealth-Tier","Mobile","4G/5G",83,"Safari","0","2"
40,"Male",84751,609,"Beauty","Klarna",250,"Late Payment","Wealth-Tier","Tablet","WiFi",51,"Chrome","0","2"
54,"Female",50261,406,"Beauty","Klarna",298,"Paid On Time","Mid-Tier","Mobile","WiFi",150,"Firefox","0","1"
49,"Female",118331,432,"Home & Furniture","Afterpay",35,"Paid On Time","Wealth-Tier","Mobile","VPN",117,"Edge","0","3"
50,"Male",34574,771,"Fashion","Sezzle",281,"Paid On Time","Mid-Tier","Mobile","WiFi",169,"Chrome","0","1"
18,"Female",28268,607,"Beauty","Afterpay",286,"Paid On Time","Entry-Level","Mobile","4G/5G",54,"Edge","0","1"
36,"Male",94641,441,"Electronics","Afterpay",1490,"Paid On Time","Wealth-Tier","Mobile","VPN",10,"Firefox","0","3"
